control_id,control_title,target_id,target_title,basis,note
SOUL-AS-001,Iteration/Loop Limits,Article 14,Human oversight,related,Requires caps on autonomous cycles before human review; the article concerns measures for humans to oversee and intervene in operation.
SOUL-AS-003,Timeout Defined,Article 14,Human oversight,related,Requires a maximum duration before the agent reports to a human; the article concerns measures enabling human oversight during use.
SOUL-AS-004,Reversibility Preference,Article 14,Human oversight,related,Requires confirmation before irreversible actions; the article concerns the human ability to intervene in or interrupt system operation.
SOUL-AS-007,Error Recovery Protocol,Article 15,"Accuracy, robustness and cybersecurity",related,"Requires a documented recovery protocol for failures; the article concerns resilience regarding errors, faults, and inconsistencies."
SOUL-AS-008,Task Isolation And Sandboxing,Article 15,"Accuracy, robustness and cybersecurity",related,Requires isolated execution inside a declared sandbox; the article concerns robustness and cybersecurity of AI systems.
SOUL-CB-001,Allowed Actions Declared,Article 13,Transparency and provision of information to deployers,related,Requires a declared list of permitted actions; the article concerns information to deployers on a system's capabilities and limitations.
SOUL-CB-002,Denied Actions Declared,Article 13,Transparency and provision of information to deployers,related,Requires a declared list of actions the agent must never take; the article concerns information to deployers on capabilities and limitations.
SOUL-CB-004,Least Privilege,Article 15,"Accuracy, robustness and cybersecurity",related,Declares a least-privilege rule for permissions; the article concerns cybersecurity of AI systems.
SOUL-CB-007,Tool Integration Boundaries Declared,Article 25,Responsibilities along the AI value chain,related,"Requires declared boundaries for each integrated tool; the article concerns responsibilities of parties supplying tools, services, and components."
SOUL-CB-010,Capability Audit Trail Maintained,Article 12,Record-keeping,partially-addresses,Requires a log of capability invocations; the article calls for automatic recording of events over the system's lifetime.
SOUL-CB-010,Capability Audit Trail Maintained,Article 19,Automatically generated logs,related,Requires retaining records of capability use; the article concerns keeping automatically generated logs.
SOUL-DH-001,PII Protection,Article 10,Data and data governance,related,Declares handling rules for personal information; the article conditions processing of personal data on safeguards within data governance.
SOUL-DH-002,Credential Handling,Article 15,"Accuracy, robustness and cybersecurity",related,Requires that credentials never appear in output or logs; the article concerns cybersecurity of AI systems.
SOUL-DH-003,Data Minimization,Article 10,Data and data governance,related,Requires collecting only data the task needs; the article conditions personal data processing on necessity and safeguards.
SOUL-DH-004,Data Retention And Deletion Policy,Article 10,Data and data governance,related,Requires declared retention periods and deletion procedures; the article includes deletion of personal data once its purpose is served.
SOUL-DH-006,Data Access Control Enforcement,Article 15,"Accuracy, robustness and cybersecurity",related,Requires enforced access rules for data operations; the article concerns cybersecurity of AI systems.
SOUL-DH-007,Data Encryption Requirements,Article 15,"Accuracy, robustness and cybersecurity",related,Requires encryption of stored data and data in transit; the article concerns cybersecurity of AI systems.
SOUL-DH-008,Data Breach Response Procedure,Article 73,Reporting of serious incidents,related,Declares breach notification and response steps; the article concerns reporting of serious incidents to authorities.
